Area,Cow_Breed,No_of_Calves,Litres_of_water_Taken_by_the_cow_in_a_day,Feeding_Practices,Average_Temperature_of_the_Area,Yearly_Production
Homa Bay Town,Jersey,2,108,Grazing,22,9512
Suba South,Holstein-Friesian,1,72,Grazing,24,5173
Suba North,Ayrshire,4,112,Zero-grazing,21,8543
Rachuonyo North,Jersey,3,101,Mixed,15,11928
Rachuonyo South,Guernsey,7,51,Mixed,19,7963
Suba North,Jersey,3,91,Zero-grazing,30,11560
Rachuonyo East,Holstein-Friesian,7,74,Zero-grazing,21,5425
Rachuonyo South,Brown Swiss,6,52,Zero-grazing,27,2134
Suba North,Holstein-Friesian,3,118,Zero-grazing,29,9082
Homa Bay Town,Jersey,2,87,Mixed,19,10327
Homa Bay Town,Holstein-Friesian,4,99,Mixed,22,8500
Ndhiwa,Guernsey,1,75,Grazing,29,8227
Homa Bay Town,Guernsey,2,114,Mixed,16,11108
Rachuonyo East,Jersey,7,80,Mixed,29,5216
Rachuonyo South,Jersey,7,75,Mixed,22,6688
Rachuonyo South,Brown Swiss,2,117,Grazing,27,11638
Ndhiwa,Jersey,7,50,Zero-grazing,22,6737
Suba North,Holstein-Friesian,3,114,Zero-grazing,26,8600
Suba North,Ayrshire,1,61,Zero-grazing,22,6750
Suba South,Brown Swiss,2,96,Zero-grazing,26,9642
Ndhiwa,Ayrshire,4,81,Zero-grazing,18,9977
Homa Bay Town,Brown Swiss,3,113,Mixed,24,11400
Homa Bay Town,Guernsey,6,65,Mixed,25,3947
Rachuonyo South,Ayrshire,4,119,Grazing,20,11981
Rachuonyo East,Brown Swiss,3,94,Zero-grazing,19,10727
Rachuonyo South,Guernsey,5,57,Mixed,21,6454
Suba South,Brown Swiss,4,114,Mixed,24,10193
Suba South,Guernsey,6,68,Grazing,16,3978
Suba South,Ayrshire,5,72,Zero-grazing,15,5560
Ndhiwa,Ayrshire,3,108,Grazing,29,11001
Rachuonyo North,Jersey,3,105,Zero-grazing,25,9132
Rachuonyo South,Holstein-Friesian,3,84,Zero-grazing,26,9387
Ndhiwa,Brown Swiss,4,82,Grazing,19,8638
Rachuonyo North,Holstein-Friesian,4,99,Zero-grazing,27,9013
Homa Bay Town,Guernsey,1,55,Mixed,16,5829
Homa Bay Town,Jersey,7,50,Mixed,23,5475
Rachuonyo East,Jersey,6,50,Zero-grazing,19,2052
Suba South,Guernsey,4,120,Grazing,20,10619
Suba North,Holstein-Friesian,7,55,Grazing,25,7715
Suba North,Guernsey,2,84,Mixed,18,11583
Rachuonyo East,Brown Swiss,4,88,Zero-grazing,26,10214
Homa Bay Town,Ayrshire,7,73,Mixed,25,7455
Rachuonyo East,Guernsey,5,70,Zero-grazing,24,5480
Rachuonyo North,Guernsey,6,59,Mixed,17,3025
Rachuonyo North,Guernsey,3,85,Grazing,15,11422
Suba South,Brown Swiss,7,52,Mixed,21,5053
Rachuonyo North,Guernsey,1,68,Zero-grazing,24,7883
Rachuonyo South,Guernsey,6,69,Zero-grazing,30,2994
Ndhiwa,Brown Swiss,7,60,Grazing,24,6200
Ndhiwa,Brown Swiss,7,61,Zero-grazing,28,7604
Rachuonyo East,Jersey,4,107,Zero-grazing,22,9815
Suba South,Guernsey,7,53,Mixed,29,6284
Rachuonyo South,Ayrshire,4,88,Zero-grazing,20,9648
Suba South,Holstein-Friesian,6,55,Mixed,15,3008
Rachuonyo North,Jersey,6,63,Zero-grazing,25,3901
Rachuonyo South,Jersey,2,82,Zero-grazing,17,11010
Ndhiwa,Ayrshire,6,60,Mixed,28,3664
Suba South,Jersey,4,107,Grazing,21,8895
Homa Bay Town,Guernsey,7,75,Mixed,29,7903
Ndhiwa,Holstein-Friesian,1,73,Grazing,28,6607
Ndhiwa,Jersey,2,110,Mixed,15,8656
Homa Bay Town,Jersey,5,80,Mixed,21,8215
Suba North,Guernsey,3,95,Grazing,23,9436
Suba South,Brown Swiss,7,71,Zero-grazing,17,6721
Rachuonyo East,Holstein-Friesian,7,69,Mixed,24,5467
Suba North,Jersey,2,92,Zero-grazing,26,9424
Suba North,Jersey,2,95,Mixed,30,10052
Homa Bay Town,Brown Swiss,1,51,Mixed,17,5354
Homa Bay Town,Jersey,3,84,Mixed,24,9851
Suba North,Guernsey,6,62,Zero-grazing,28,2801
Rachuonyo South,Ayrshire,4,89,Zero-grazing,17,9789
Ndhiwa,Ayrshire,3,120,Mixed,16,9316
Suba North,Ayrshire,7,62,Mixed,23,5765
Homa Bay Town,Holstein-Friesian,7,60,Grazing,24,8260
Ndhiwa,Holstein-Friesian,5,50,Mixed,22,7518
Rachuonyo East,Ayrshire,2,95,Grazing,24,9491
Rachuonyo South,Jersey,6,69,Mixed,15,3806
Suba North,Guernsey,2,88,Mixed,19,9879
Rachuonyo East,Jersey,3,93,Zero-grazing,18,10005
Rachuonyo South,Brown Swiss,1,58,Grazing,27,7903
Rachuonyo North,Ayrshire,3,98,Zero-grazing,23,9839
Suba North,Ayrshire,6,53,Zero-grazing,17,2633
Suba South,Guernsey,1,65,Zero-grazing,30,5749
Suba South,Brown Swiss,3,88,Mixed,22,9540
Ndhiwa,Jersey,3,106,Mixed,16,10820
Homa Bay Town,Holstein-Friesian,6,61,Mixed,17,2533
Ndhiwa,Guernsey,4,82,Zero-grazing,26,11603
Rachuonyo East,Guernsey,6,70,Zero-grazing,18,3110
Rachuonyo South,Jersey,6,59,Zero-grazing,20,2582
Rachuonyo North,Brown Swiss,1,63,Zero-grazing,18,5977
Rachuonyo East,Brown Swiss,2,80,Grazing,28,11544
Rachuonyo East,Brown Swiss,1,72,Grazing,20,5639
Suba South,Brown Swiss,2,106,Zero-grazing,26,8603
Rachuonyo North,Holstein-Friesian,4,113,Grazing,18,8808
Suba North,Ayrshire,6,57,Mixed,19,3306
Rachuonyo North,Holstein-Friesian,1,65,Mixed,16,7639
Rachuonyo East,Jersey,3,118,Zero-grazing,19,10483
Rachuonyo South,Brown Swiss,1,56,Grazing,29,5376
Suba South,Holstein-Friesian,3,92,Zero-grazing,24,9949
Rachuonyo East,Guernsey,7,74,Grazing,16,6108
Rachuonyo East,Brown Swiss,3,108,Zero-grazing,20,8817
Suba South,Holstein-Friesian,1,62,Zero-grazing,28,6568
Rachuonyo South,Guernsey,1,64,Mixed,27,7783
Rachuonyo South,Brown Swiss,1,75,Zero-grazing,22,6557
Suba North,Guernsey,7,65,Mixed,19,5131
Rachuonyo East,Guernsey,6,67,Mixed,20,3043
Rachuonyo East,Jersey,1,52,Zero-grazing,17,6902
Homa Bay Town,Ayrshire,7,57,Grazing,17,6442
Ndhiwa,Brown Swiss,7,58,Grazing,30,6795
Suba North,Ayrshire,1,55,Grazing,19,7216
Homa Bay Town,Jersey,4,109,Zero-grazing,25,8698
Homa Bay Town,Ayrshire,1,80,Mixed,30,6021
Suba North,Guernsey,3,114,Mixed,23,11239
Ndhiwa,Ayrshire,3,112,Zero-grazing,17,11942
Rachuonyo East,Brown Swiss,1,71,Mixed,24,7468
Rachuonyo North,Guernsey,4,108,Grazing,21,8682
Suba South,Jersey,4,82,Zero-grazing,17,10700
Suba North,Ayrshire,1,59,Grazing,23,7305
Rachuonyo East,Brown Swiss,2,100,Mixed,16,9881
Suba South,Jersey,3,93,Mixed,25,11412
Rachuonyo North,Holstein-Friesian,2,112,Grazing,15,10963
Ndhiwa,Ayrshire,1,64,Mixed,28,7152
Rachuonyo North,Guernsey,2,120,Grazing,28,8821
Rachuonyo East,Brown Swiss,1,70,Mixed,18,6063
Rachuonyo East,Ayrshire,6,57,Zero-grazing,23,2654
Suba South,Holstein-Friesian,1,67,Zero-grazing,26,8268
Rachuonyo North,Guernsey,5,78,Grazing,24,5328
Rachuonyo South,Ayrshire,3,92,Zero-grazing,25,10707
Ndhiwa,Holstein-Friesian,2,119,Mixed,16,10845
Rachuonyo South,Guernsey,7,55,Grazing,21,7403
Homa Bay Town,Ayrshire,6,69,Mixed,17,2315
Suba South,Jersey,5,52,Zero-grazing,28,5379
Suba South,Holstein-Friesian,4,96,Grazing,30,8929
Suba South,Guernsey,2,101,Grazing,19,9772
Rachuonyo North,Holstein-Friesian,4,116,Mixed,27,10441
Suba North,Brown Swiss,7,78,Grazing,19,5897
Rachuonyo South,Holstein-Friesian,4,98,Zero-grazing,21,10371
Ndhiwa,Holstein-Friesian,4,92,Zero-grazing,27,11671
Homa Bay Town,Ayrshire,4,83,Zero-grazing,20,9533
Suba South,Ayrshire,2,105,Grazing,22,11136
Ndhiwa,Brown Swiss,4,110,Grazing,22,9920
Suba South,Ayrshire,2,116,Grazing,27,10981
Ndhiwa,Holstein-Friesian,7,67,Zero-grazing,24,7762
Homa Bay Town,Guernsey,4,81,Mixed,24,10154
Rachuonyo South,Ayrshire,5,53,Grazing,25,6578
Rachuonyo East,Ayrshire,1,64,Zero-grazing,27,5972
Suba South,Guernsey,3,83,Zero-grazing,18,9830
Rachuonyo South,Ayrshire,2,80,Mixed,21,9480
Suba South,Jersey,4,115,Zero-grazing,18,11150
Rachuonyo East,Holstein-Friesian,6,67,Grazing,19,2455
Suba North,Jersey,5,57,Zero-grazing,23,7013
Rachuonyo North,Brown Swiss,5,73,Mixed,21,7269
Suba South,Ayrshire,2,90,Mixed,21,10695
Rachuonyo North,Brown Swiss,6,70,Mixed,16,3770
Rachuonyo North,Jersey,4,103,Zero-grazing,17,11355
Rachuonyo North,Jersey,3,87,Zero-grazing,22,10995
Homa Bay Town,Holstein-Friesian,6,50,Mixed,16,3148
Suba North,Brown Swiss,2,111,Grazing,17,9309
Rachuonyo North,Guernsey,4,82,Zero-grazing,20,10638
Ndhiwa,Holstein-Friesian,5,52,Zero-grazing,16,5561
Homa Bay Town,Guernsey,6,52,Grazing,23,2521
Suba North,Ayrshire,5,71,Zero-grazing,27,6956
Rachuonyo North,Guernsey,6,50,Mixed,24,2606
Rachuonyo East,Holstein-Friesian,6,52,Zero-grazing,21,2158
Rachuonyo East,Holstein-Friesian,4,97,Mixed,27,9795
Homa Bay Town,Brown Swiss,3,90,Mixed,29,9678
Rachuonyo South,Brown Swiss,7,60,Zero-grazing,22,5689
Homa Bay Town,Brown Swiss,4,97,Grazing,27,8918
Suba South,Guernsey,3,91,Mixed,27,11771
Suba South,Guernsey,5,76,Mixed,19,5210
Rachuonyo East,Jersey,3,92,Mixed,18,11492
Ndhiwa,Guernsey,6,56,Mixed,27,2059
Ndhiwa,Guernsey,5,51,Mixed,22,6051
Rachuonyo South,Ayrshire,5,52,Grazing,25,6684
Ndhiwa,Jersey,6,52,Mixed,18,2211
Rachuonyo East,Brown Swiss,1,70,Mixed,28,8266
Homa Bay Town,Brown Swiss,7,55,Mixed,15,5023
Suba North,Holstein-Friesian,3,113,Zero-grazing,24,8968
Rachuonyo East,Jersey,4,105,Zero-grazing,22,10942
Rachuonyo East,Brown Swiss,4,110,Zero-grazing,24,9339
Rachuonyo North,Brown Swiss,5,64,Zero-grazing,18,8167
Rachuonyo South,Brown Swiss,1,51,Zero-grazing,24,7511
Ndhiwa,Guernsey,7,62,Zero-grazing,28,6311
Rachuonyo North,Guernsey,1,65,Zero-grazing,27,5527
Suba South,Guernsey,7,70,Zero-grazing,15,8284
Ndhiwa,Guernsey,5,77,Zero-grazing,28,6184
Rachuonyo North,Guernsey,7,68,Grazing,21,5680
Rachuonyo North,Jersey,6,60,Zero-grazing,30,3147
Rachuonyo East,Brown Swiss,6,66,Mixed,20,3514
Rachuonyo North,Holstein-Friesian,5,61,Zero-grazing,23,6709
Rachuonyo East,Jersey,5,77,Zero-grazing,15,6841
Suba South,Ayrshire,4,108,Grazing,29,11126
Rachuonyo East,Jersey,4,80,Mixed,17,10766
Homa Bay Town,Jersey,6,67,Grazing,18,2649
Suba North,Guernsey,5,52,Grazing,25,8168
Ndhiwa,Jersey,1,60,Grazing,26,5773
Homa Bay Town,Ayrshire,7,54,Grazing,18,7723
Ndhiwa,Ayrshire,2,89,Mixed,16,9196
Rachuonyo South,Brown Swiss,2,104,Zero-grazing,26,8505
Suba North,Jersey,1,58,Zero-grazing,17,5227
Rachuonyo South,Ayrshire,7,72,Mixed,18,7610
Suba North,Ayrshire,6,64,Grazing,20,2299
Suba North,Brown Swiss,2,120,Grazing,20,8533
Rachuonyo East,Brown Swiss,1,69,Grazing,24,7606
Rachuonyo North,Brown Swiss,4,111,Mixed,22,10316
Homa Bay Town,Ayrshire,1,54,Grazing,28,8480
Suba South,Ayrshire,1,57,Grazing,30,6000
Homa Bay Town,Holstein-Friesian,3,111,Grazing,25,11060
Rachuonyo South,Jersey,2,83,Zero-grazing,17,9695
Rachuonyo North,Guernsey,7,54,Grazing,26,6768
Suba South,Ayrshire,1,60,Mixed,19,7882
Suba South,Holstein-Friesian,5,80,Mixed,24,7422
Suba South,Holstein-Friesian,4,100,Grazing,25,10183
Rachuonyo East,Guernsey,5,50,Grazing,25,7862
Homa Bay Town,Holstein-Friesian,3,118,Grazing,25,10609
Suba South,Jersey,7,59,Grazing,24,7347
Homa Bay Town,Brown Swiss,2,120,Grazing,17,10969
Suba North,Brown Swiss,4,110,Grazing,29,10167
Ndhiwa,Holstein-Friesian,5,74,Mixed,21,5556
Rachuonyo East,Ayrshire,3,99,Mixed,17,9295
Rachuonyo North,Brown Swiss,7,65,Grazing,21,8190
Ndhiwa,Guernsey,3,82,Zero-grazing,30,11434
Ndhiwa,Ayrshire,1,74,Mixed,21,8433
Rachuonyo North,Brown Swiss,6,61,Zero-grazing,17,3172
Homa Bay Town,Ayrshire,5,61,Zero-grazing,26,5013
Rachuonyo East,Guernsey,5,67,Zero-grazing,29,7297
Suba South,Jersey,2,109,Grazing,28,10008
Suba North,Holstein-Friesian,1,80,Grazing,29,7395
Rachuonyo East,Jersey,7,57,Mixed,26,5967
Suba North,Holstein-Friesian,2,103,Mixed,23,9411
Homa Bay Town,Holstein-Friesian,3,114,Mixed,22,11111
Rachuonyo South,Brown Swiss,5,55,Mixed,16,6685
Rachuonyo South,Guernsey,3,105,Mixed,28,11270
Ndhiwa,Brown Swiss,1,61,Mixed,22,8455
Rachuonyo South,Guernsey,3,104,Mixed,22,11726
Suba South,Guernsey,7,56,Zero-grazing,27,8063
Rachuonyo South,Ayrshire,1,59,Grazing,15,7371
Rachuonyo East,Brown Swiss,2,99,Zero-grazing,21,11150
Ndhiwa,Holstein-Friesian,6,50,Grazing,27,3641
Suba South,Jersey,7,63,Grazing,30,6411
Homa Bay Town,Guernsey,6,52,Grazing,29,2481
Rachuonyo North,Jersey,6,62,Zero-grazing,21,2017
Rachuonyo South,Brown Swiss,1,77,Zero-grazing,19,7550
Rachuonyo South,Guernsey,2,96,Grazing,15,11260
Homa Bay Town,Jersey,2,112,Zero-grazing,17,8734
Rachuonyo North,Ayrshire,5,59,Zero-grazing,18,7853
Suba South,Guernsey,4,117,Mixed,19,11293
Rachuonyo East,Guernsey,3,103,Grazing,24,10048
Homa Bay Town,Brown Swiss,3,119,Grazing,23,9212
Homa Bay Town,Brown Swiss,1,79,Zero-grazing,17,7105
Homa Bay Town,Guernsey,7,51,Grazing,30,5493
Suba South,Ayrshire,3,94,Zero-grazing,15,9113
Homa Bay Town,Brown Swiss,4,85,Grazing,23,10191
Homa Bay Town,Ayrshire,6,64,Mixed,15,3152
Ndhiwa,Jersey,2,86,Mixed,25,9447
Rachuonyo South,Holstein-Friesian,7,78,Mixed,19,7616
Suba North,Brown Swiss,3,98,Mixed,18,8704
Ndhiwa,Brown Swiss,6,50,Zero-grazing,22,3882
Rachuonyo East,Guernsey,2,92,Grazing,23,9106
Suba South,Ayrshire,6,58,Mixed,26,3221
Rachuonyo East,Holstein-Friesian,1,71,Zero-grazing,27,5045
Ndhiwa,Brown Swiss,7,54,Grazing,19,8152
Suba South,Holstein-Friesian,7,67,Zero-grazing,28,8292
Rachuonyo North,Brown Swiss,6,58,Zero-grazing,19,2865
Ndhiwa,Guernsey,2,112,Zero-grazing,27,10790
Rachuonyo East,Jersey,4,87,Grazing,22,10600
Ndhiwa,Ayrshire,4,105,Mixed,17,9278
Rachuonyo North,Guernsey,2,115,Zero-grazing,16,9345
Ndhiwa,Guernsey,3,99,Grazing,22,11762
Rachuonyo North,Brown Swiss,6,68,Mixed,22,2129
Suba South,Ayrshire,5,51,Mixed,18,5292
Rachuonyo East,Brown Swiss,2,93,Zero-grazing,16,10667
Rachuonyo East,Guernsey,4,116,Zero-grazing,26,11382
Homa Bay Town,Guernsey,2,116,Zero-grazing,22,11080
Rachuonyo North,Ayrshire,7,74,Grazing,25,8429
Suba South,Brown Swiss,5,75,Mixed,27,8320
Ndhiwa,Jersey,4,119,Mixed,25,11067
Suba South,Jersey,7,58,Mixed,25,6332
Rachuonyo South,Guernsey,7,79,Zero-grazing,28,5442
Rachuonyo North,Guernsey,5,53,Zero-grazing,19,6748
Rachuonyo South,Brown Swiss,5,80,Grazing,18,8260
Ndhiwa,Ayrshire,7,61,Grazing,20,5094
Ndhiwa,Jersey,2,104,Mixed,18,9154
Rachuonyo South,Ayrshire,1,67,Zero-grazing,24,5447
Rachuonyo North,Ayrshire,1,57,Grazing,24,8097
Rachuonyo North,Holstein-Friesian,7,59,Grazing,17,5721
Suba North,Jersey,2,83,Grazing,29,10022
Ndhiwa,Ayrshire,5,57,Grazing,17,8329
Rachuonyo East,Brown Swiss,6,50,Grazing,25,3225
Suba South,Holstein-Friesian,6,69,Zero-grazing,21,3233
Rachuonyo North,Jersey,5,65,Zero-grazing,25,7106
Homa Bay Town,Jersey,2,117,Grazing,21,10255
Ndhiwa,Holstein-Friesian,6,63,Mixed,19,3228
Ndhiwa,Jersey,2,113,Mixed,16,9731
Ndhiwa,Ayrshire,1,60,Grazing,24,5710
Homa Bay Town,Brown Swiss,4,117,Grazing,24,9916
Suba North,Jersey,2,118,Grazing,18,9514
Rachuonyo North,Brown Swiss,7,59,Zero-grazing,27,7731
Ndhiwa,Guernsey,4,120,Grazing,25,9006
Suba North,Jersey,7,51,Zero-grazing,17,6361
Ndhiwa,Holstein-Friesian,1,72,Grazing,15,5756
Homa Bay Town,Ayrshire,4,98,Zero-grazing,30,9624
Homa Bay Town,Ayrshire,5,55,Grazing,28,6771
Rachuonyo South,Jersey,4,105,Mixed,15,10670
Rachuonyo North,Ayrshire,3,83,Grazing,26,11856
Suba North,Brown Swiss,6,51,Zero-grazing,28,2606
Rachuonyo East,Jersey,5,53,Zero-grazing,23,7867
Suba North,Holstein-Friesian,4,105,Zero-grazing,19,10335
Suba South,Jersey,5,53,Grazing,17,7125
Suba North,Brown Swiss,4,102,Mixed,16,9782
Rachuonyo East,Holstein-Friesian,7,60,Grazing,19,6344
Homa Bay Town,Jersey,7,79,Grazing,27,5198
Rachuonyo North,Brown Swiss,4,81,Grazing,16,11133
Suba North,Jersey,7,55,Zero-grazing,20,8172
Rachuonyo South,Holstein-Friesian,3,88,Mixed,30,9287
Rachuonyo South,Guernsey,2,85,Zero-grazing,20,10383
Ndhiwa,Guernsey,6,58,Grazing,21,2375
Ndhiwa,Ayrshire,2,104,Mixed,22,9699
Suba North,Ayrshire,4,91,Mixed,23,10956
Homa Bay Town,Jersey,7,72,Grazing,28,5083
Homa Bay Town,Brown Swiss,3,95,Mixed,17,9782
Homa Bay Town,Jersey,1,71,Grazing,21,7813
Rachuonyo East,Ayrshire,1,59,Mixed,26,7188
Rachuonyo South,Jersey,5,73,Grazing,17,6497
Rachuonyo North,Jersey,1,66,Zero-grazing,30,8379
Suba North,Ayrshire,4,110,Grazing,28,10762
Rachuonyo North,Jersey,6,63,Zero-grazing,27,2945
Suba South,Jersey,2,94,Grazing,28,10067
Homa Bay Town,Holstein-Friesian,4,101,Grazing,25,10713
Ndhiwa,Brown Swiss,5,68,Zero-grazing,20,6631
Rachuonyo North,Ayrshire,6,55,Zero-grazing,24,2291
Ndhiwa,Ayrshire,2,99,Mixed,18,9318
Suba South,Brown Swiss,7,64,Grazing,29,7869
Suba North,Ayrshire,4,93,Zero-grazing,23,9792
Suba North,Jersey,2,95,Zero-grazing,29,11948
Ndhiwa,Guernsey,1,51,Zero-grazing,16,7892
Ndhiwa,Jersey,6,51,Mixed,21,2907
Suba North,Jersey,1,66,Mixed,22,8443
Rachuonyo East,Brown Swiss,7,63,Zero-grazing,26,6483
Ndhiwa,Jersey,2,112,Mixed,30,8974
Rachuonyo South,Jersey,3,114,Zero-grazing,26,11621
Homa Bay Town,Holstein-Friesian,1,63,Grazing,23,7475
Suba South,Ayrshire,6,70,Grazing,21,3945
Rachuonyo East,Brown Swiss,5,56,Mixed,21,6650
Rachuonyo East,Jersey,2,110,Grazing,29,9822
Suba North,Jersey,4,92,Zero-grazing,19,10349
Homa Bay Town,Brown Swiss,3,89,Grazing,29,11707
Suba North,Jersey,3,84,Grazing,17,9178
Rachuonyo East,Guernsey,2,118,Grazing,25,8586
Rachuonyo East,Jersey,2,112,Mixed,17,11346
Ndhiwa,Guernsey,1,65,Zero-grazing,17,7316
Rachuonyo North,Jersey,5,74,Zero-grazing,15,7773
Rachuonyo North,Holstein-Friesian,4,97,Zero-grazing,21,8701
Rachuonyo East,Brown Swiss,2,107,Grazing,17,10404
Rachuonyo East,Holstein-Friesian,4,93,Grazing,20,9826
Rachuonyo East,Jersey,2,107,Zero-grazing,20,11780
Suba North,Ayrshire,5,61,Mixed,24,5326
Rachuonyo North,Brown Swiss,3,103,Grazing,15,8796
Suba South,Ayrshire,7,61,Zero-grazing,15,6608
Rachuonyo North,Jersey,3,92,Zero-grazing,25,8539
Rachuonyo East,Ayrshire,2,90,Mixed,17,10756
Suba North,Ayrshire,1,75,Mixed,25,5619
Ndhiwa,Ayrshire,3,93,Mixed,29,10866
Rachuonyo East,Guernsey,7,78,Grazing,29,7987
Rachuonyo East,Jersey,7,65,Zero-grazing,15,5432
Suba North,Jersey,2,94,Zero-grazing,25,9927
Suba South,Brown Swiss,6,60,Grazing,27,3680
Homa Bay Town,Jersey,1,68,Grazing,25,8481
Rachuonyo South,Ayrshire,4,93,Mixed,15,11909
Suba South,Holstein-Friesian,3,104,Mixed,24,11204
Rachuonyo South,Brown Swiss,1,66,Zero-grazing,24,6366
Rachuonyo South,Jersey,5,79,Grazing,16,5729
Ndhiwa,Guernsey,3,94,Mixed,23,9457
Homa Bay Town,Ayrshire,2,87,Grazing,22,11192
Homa Bay Town,Jersey,7,61,Zero-grazing,29,7726
Homa Bay Town,Jersey,1,70,Zero-grazing,27,6968
Rachuonyo South,Brown Swiss,4,113,Grazing,21,9964
Rachuonyo North,Guernsey,5,70,Grazing,27,6541
Suba South,Guernsey,7,52,Mixed,22,8323
Homa Bay Town,Holstein-Friesian,4,99,Mixed,25,10210
Rachuonyo North,Ayrshire,5,73,Mixed,21,7527
Ndhiwa,Holstein-Friesian,5,51,Grazing,21,6536
Rachuonyo East,Holstein-Friesian,1,64,Mixed,27,6356
Rachuonyo North,Guernsey,4,83,Mixed,25,8954
Rachuonyo North,Ayrshire,3,116,Zero-grazing,28,10793
Rachuonyo North,Guernsey,6,52,Zero-grazing,23,2808
Suba North,Guernsey,4,110,Grazing,18,10090
Suba South,Ayrshire,2,102,Mixed,17,9938
Rachuonyo East,Guernsey,6,53,Zero-grazing,27,2364
Rachuonyo East,Jersey,3,108,Mixed,21,8837
Rachuonyo South,Brown Swiss,5,76,Zero-grazing,19,8112
Rachuonyo East,Jersey,1,66,Zero-grazing,25,5444
Suba North,Holstein-Friesian,6,64,Mixed,26,2229
Suba South,Brown Swiss,5,56,Grazing,25,6457
Ndhiwa,Brown Swiss,6,63,Mixed,29,2839
Suba North,Jersey,6,64,Mixed,23,2184
Homa Bay Town,Jersey,3,97,Mixed,19,11051
Ndhiwa,Jersey,4,107,Mixed,30,11561
Rachuonyo East,Guernsey,5,65,Zero-grazing,24,5796
Rachuonyo East,Jersey,7,69,Zero-grazing,19,7250
Suba North,Jersey,5,67,Mixed,16,7977
Suba South,Brown Swiss,4,84,Mixed,22,11867
Homa Bay Town,Ayrshire,4,102,Mixed,24,11186
Homa Bay Town,Brown Swiss,6,59,Grazing,27,3264
Rachuonyo North,Holstein-Friesian,1,51,Mixed,29,7740
Suba North,Guernsey,6,51,Grazing,21,2379
Rachuonyo South,Brown Swiss,2,110,Grazing,19,10421
Rachuonyo South,Holstein-Friesian,2,83,Zero-grazing,17,9099
Ndhiwa,Brown Swiss,2,109,Mixed,25,8578
Suba South,Jersey,3,105,Grazing,22,9978
Rachuonyo South,Holstein-Friesian,1,79,Zero-grazing,23,5494
Suba South,Holstein-Friesian,2,98,Mixed,30,10659
Rachuonyo East,Ayrshire,7,61,Zero-grazing,30,5635
Rachuonyo North,Brown Swiss,4,110,Zero-grazing,27,10934
Suba South,Guernsey,4,100,Grazing,15,9714
Suba South,Brown Swiss,6,65,Zero-grazing,30,3718
Suba North,Brown Swiss,3,102,Grazing,30,11551
Homa Bay Town,Holstein-Friesian,6,55,Mixed,16,3648
Suba South,Jersey,5,80,Zero-grazing,25,6471
Suba South,Holstein-Friesian,2,86,Grazing,26,9540
Homa Bay Town,Ayrshire,4,114,Zero-grazing,26,10245
Ndhiwa,Jersey,3,92,Zero-grazing,23,11491
Rachuonyo East,Guernsey,4,118,Zero-grazing,17,10539
Rachuonyo East,Brown Swiss,6,51,Zero-grazing,28,2816
Homa Bay Town,Brown Swiss,2,81,Zero-grazing,19,9710
Suba South,Ayrshire,4,87,Grazing,28,10788
Rachuonyo North,Ayrshire,2,94,Mixed,30,11193
Homa Bay Town,Holstein-Friesian,6,56,Zero-grazing,26,3186
Rachuonyo North,Holstein-Friesian,4,87,Zero-grazing,15,9384
Suba South,Brown Swiss,6,60,Zero-grazing,17,2434
Rachuonyo North,Brown Swiss,7,63,Grazing,30,5990
Rachuonyo South,Jersey,7,51,Grazing,23,7412
Homa Bay Town,Guernsey,4,100,Mixed,24,10645
Rachuonyo East,Jersey,5,74,Grazing,23,5911
Homa Bay Town,Jersey,1,66,Zero-grazing,27,7892
Suba South,Brown Swiss,5,55,Mixed,20,8222
Suba South,Jersey,3,86,Mixed,30,11361
Rachuonyo East,Holstein-Friesian,6,53,Zero-grazing,28,3371
Ndhiwa,Guernsey,4,113,Mixed,21,9938
Suba North,Ayrshire,7,66,Grazing,24,6903
Suba South,Jersey,7,66,Mixed,28,6147
Ndhiwa,Holstein-Friesian,6,60,Mixed,30,3115
Rachuonyo East,Brown Swiss,1,64,Grazing,24,8033
Rachuonyo East,Jersey,3,104,Mixed,17,10831
Homa Bay Town,Jersey,7,52,Mixed,19,5633
Rachuonyo South,Brown Swiss,5,74,Zero-grazing,30,7071
Suba South,Ayrshire,2,116,Zero-grazing,15,10927
Ndhiwa,Brown Swiss,3,84,Zero-grazing,28,9321
Ndhiwa,Guernsey,4,81,Mixed,19,8849
Rachuonyo North,Jersey,1,61,Grazing,25,7755
Rachuonyo North,Ayrshire,5,50,Grazing,20,5768
Rachuonyo South,Guernsey,5,66,Mixed,30,6837
Suba North,Holstein-Friesian,3,95,Mixed,29,8752
Suba North,Guernsey,5,75,Mixed,30,8451
Rachuonyo North,Holstein-Friesian,4,109,Mixed,30,9635
Rachuonyo South,Guernsey,4,80,Mixed,16,10231
Homa Bay Town,Guernsey,6,70,Grazing,15,2443
Rachuonyo North,Holstein-Friesian,4,103,Zero-grazing,28,11710
Ndhiwa,Holstein-Friesian,1,59,Zero-grazing,27,7844
Rachuonyo North,Guernsey,6,70,Zero-grazing,25,3014
Rachuonyo East,Guernsey,5,78,Grazing,18,5942
Rachuonyo South,Brown Swiss,6,58,Mixed,24,3397
Rachuonyo East,Ayrshire,6,51,Zero-grazing,24,3095
Rachuonyo East,Jersey,2,117,Zero-grazing,20,10528
Ndhiwa,Guernsey,5,60,Grazing,25,5313
Suba South,Ayrshire,3,116,Zero-grazing,17,9875
